2,5,1,9,1013.9,22,19,16.7,16,83,67,3.3,8,4.4,12.97,2.1,20,11
2,6,1,10,1015.7,19.7,18.1,16.9,14.6,80,80,Trace,3,5.6,14.7,3.6,70,38.5
2,7,1,11,1016.9,18.7,16.7,15.9,12.1,74,83,-,8,2.9,11.23,2.4,70,47.2
2,8,1,12,1016.6,20.6,17.7,15.5,13.9,78,88,Trace,2,1.2,10.01,3.3,60,29.7
2,9,1,13,1020.2,16.8,14,11.1,5.3,56,72,Trace,0,6.2,15.05,3.5,10,39.9
2,10,1,14,1023.3,15.6,12.8,10.8,4.3,56,88,-,0,0.4,9.42,2.8,10,27.9
5,25,4,30,1008.7,28.5,25.5,23.9,21.6,79,84,-,0,3.4,12.21,2.2,360,18.9
5,26,5,1,1010.2,26.8,25,23.9,20.3,76,72,-,0,0.1,9.4,2.4,40,17.8
5,27,5,2,1010,30.4,26.1,24,18.6,65,56,Trace,0,7.5,23.58,5.1,80,23.9
5,28,5,3,1009.6,30.5,26.7,24.8,20,68,43,-,0,11.5,26.79,5.6,90,27.7
5,29,5,4,1009.9,30.3,26.6,24.9,21.4,74,48,-,0,10.5,26.64,5,80,31.4
5,30,5,5,1009.4,30.9,27,25.1,23.2,80,70,Trace,0,7.4,21.51,3.9,80,18.5
8,23,7,2,996.9,29.5,26.9,25.4,24.8,89,93,67.1,0,0.1,2.22,1.4,160,59.7
8,24,7,3,1007.8,31.5,29.1,27.3,26.4,86,85,Trace,0,7,21.09,3.9,110,23.6
8,25,7,4,1008.3,32.7,29.2,27.8,25.6,81,81,0.1,0,5.9,17.34,3.7,60,18.6
8,26,7,5,1006.4,34.3,29.8,26.2,24.3,73,65,6.3,0,9.9,25.58,5.2,60,28.3
8,27,7,6,1004.3,26.9,25.6,24,24.6,95,89,165.3,0,-,1.5,1.9,160,62
8,28,7,7,1010.2,26.3,25.2,24.5,24.6,96,90,98.3,0,-,2.97,0.7,140,17.1
11,13,9,25,1013.2,22.7,21.9,21.5,20.3,91,95,12.5,0,-,3.3,1.2,70,35.9
11,14,9,26,1014.6,24,23,22,20.9,88,88,0.2,0,0.2,6.04,1.7,70,28.5
11,15,9,27,1016,23.9,23.2,22.6,20.3,84,84,-,0,0.1,6.55,2.1,60,30.8
11,16,9,28,1015.1,26.2,23.4,22.2,19.9,81,68,-,0,7.9,16.65,2.7,60,29
11,17,9,29,1011.6,26.2,24.2,22.9,21.3,84,42,-,0,9.8,17.2,2.4,50,13.1
11,18,10,1,1012.2,26.5,23.9,20.1,20.8,83,60,1.9,1,3.2,7.21,2.7,360,20.2
12,27,11,10,1021.2,19.4,17.6,16.2,13.1,75,51,-,0,9.2,16.47,3.3,70,37.1
12,28,11,11,1020.7,20.6,18.5,17.1,14.1,76,84,Trace,2,2.9,9.26,1.7,60,29.4
12,29,11,12,1021.3,21.5,19,17.7,14.9,77,46,-,3,9.1,16.63,2.8,70,21.9
12,30,11,13,1021.6,22.6,19.5,17.6,14.1,71,44,-,5,8.7,16.25,3.6,50,23.7
12,31,11,14,1021.5,21,18.1,15.9,11.4,65,33,Trace,3,9.5,16.49,2.8,360,27.4
